,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
136,Yemen,137,0(0),304,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Ethiopia,138,0(0),228,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Korea DPR,139,0(0),294,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Hong Kong,140,0(0),290,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Sierra Leone,141,0(0),290,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Botswana,142,0(0),230,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Andorra,143,0(0),274,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Suriname,144,0(0),268,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Luxembourg,145,0(0),261,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Sri Lanka,146,0(0),255,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Palestine,147,0(0),253,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Bangladesh,148,0(0),249,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Maldives,149,0(0),248,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Benin,150,0(0),232,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Tanzania,151,0(0),246,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,Liechtenstein,152,0(0),242,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Myanmar,153,0(0),238,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Gambia,154,0(0),248,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Tajikistan,155,0(0),229,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Nepal,156,0(0),220,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Antigua and Barbuda,157,0(0),217,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,San Marino,158,0(0),211,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,Cape Verde Islands,159,0(0),208,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Dominica,160,0(0),204,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Dominican Republic,161,0(0),204,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Laos,162,0(0),203,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,British Virgin Islands,163,0(0),202,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Kyrgyz Republic,164,0(0),201,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Cayman Islands,165,0(0),195,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Bermuda,166,0(0),192,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Belize,167,0(0),187,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Eritrea,168,0(0),169,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Vanuatu,169,0(0),182,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Cambodia,170,0(0),180,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Chinese Taipei,171,0(0),175,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Samoa,172,0(0),158,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Tonga,173,0(0),151,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,Guinea-Bissau,174,0(0),150,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Philippines,175,0(0),149,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Chad,176,0(0),148,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Guyana,177,0(0),147,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
